Key: ETHKSM coins: ETH, KSM
Key: KSMETH coins: KSM, ETH
Key: ETHKAS coins: ETH, KAS
Key: KASETH coins: KAS, ETH
Key: ETHGALA coins: ETH, GALA
Key: GALAETH coins: GALA, ETH
Key: ETHCELO coins: ETH, CELO
Key: CELOETH coins: CELO, ETH
Key: ETHCOMP coins: ETH, COMP
Key: COMPETH coins: COMP, ETH
Key: ETHBTG coins: ETH, BTG
Key: BTGETH coins: BTG, ETH
Key: ETHROSE coins: ETH, ROSE
Key: ROSEETH coins: ROSE, ETH
Key: ETHOHM coins: ETH, OHM
Key: OHMETH coins: OHM, ETH
Key: ETHGNO coins: ETH, GNO
Key: GNOETH coins: GNO, ETH
Key: ETHYFI coins: ETH, YFI
Key: YFIETH coins: YFI, ETH
Key: ETHLN coins: ETH, LN
Key: LNETH coins: LN, ETH
Key: ETHASTR coins: ETH, ASTR
Key: ASTRETH coins: ASTR, ETH
Key: ETHBAL coins: ETH, BAL
Key: BALETH coins: BAL, ETH
Key: ETHANKR coins: ETH, ANKR
Key: ANKRETH coins: ANKR, ETH
Key: ETHACS coins: ETH, ACS
Key: ACSETH coins: ACS, ETH
Key: ETHAUDIO coins: ETH, AUDIO
Key: AUDIOETH coins: AUDIO, ETH
